title=静止五分钟采集的第十二次数据
time=2022-10-31 21:30
freq=100
note=相比第十一次，顺时针旋转90度
head=count,pitch,roll,yaw,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,minutes,seconds
data=
24358,-0.01,0.08,0.06,924,0,13360,-39,10,-30,29,4
24359,-0.01,0.08,0.06,864,8,13456,-39,9,-30,29,4
24360,-0.01,0.08,0.06,938,44,13544,-39,9,-31,29,4
24361,-0.01,0.08,0.06,896,-10,13444,-39,9,-30,29,4
24362,-0.01,0.08,0.06,930,44,13490,-39,9,-30,29,4
24363,-0.01,0.08,0.06,954,-24,13442,-39,10,-30,29,4
24364,-0.01,0.08,0.06,954,-18,13472,-40,11,-30,29,4
24365,-0.01,0.08,0.06,926,46,13388,-38,9,-29,29,4
24366,-0.01,0.08,0.06,922,46,13476,-40,10,-30,29,4
24367,-0.01,0.08,0.06,854,-24,13490,-40,10,-29,29,4
24368,-0.01,0.08,0.06,892,18,13478,-39,10,-31,29,4
24369,-0.01,0.08,0.06,882,-10,13436,-40,10,-30,29,4
24370,-0.01,0.08,0.06,968,6,13506,-39,10,-30,29,4
24371,-0.01,0.08,0.06,930,8,13448,-39,10,-30,29,4
24372,-0.01,0.08,0.06,860,46,13476,-38,11,-29,29,4
24373,-0.01,0.08,0.06,934,-32,13458,-39,11,-31,29,4
24374,-0.01,0.08,0.06,862,40,13456,-39,9,-30,29,4
24375,-0.01,0.08,0.06,940,40,13526,-38,10,-30,29,4
24376,-0.01,0.08,0.06,858,70,13528,-39,11,-30,29,4
24377,-0.01,0.08,0.06,932,40,13434,-40,11,-30,29,4
24378,-0.01,0.08,0.06,918,18,13504,-38,10,-29,29,4
24379,-0.01,0.08,0.06,946,-42,13408,-39,10,-30,29,4
24380,-0.01,0.08,0.06,942,2,13472,-39,10,-30,29,4
24381,-0.01,0.08,0.06,900,48,13448,-39,10,-31,29,4
24382,-0.01,0.08,0.06,876,38,13580,-39,10,-29,29,4
24383,-0.01,0.08,0.06,936,20,13400,-39,10,-30,29,4
24384,-0.01,0.08,0.06,922,26,13344,-39,10,-30,29,4
24385,-0.01,0.08,0.06,956,0,13490,-40,10,-30,29,4
24386,-0.01,0.08,0.06,842,36,13328,-38,11,-29,29,4
24387,-0.01,0.08,0.06,858,42,13438,-40,10,-30,29,4
24388,-0.01,0.08,0.06,912,16,13582,-40,9,-30,29,4
24389,-0.00,0.08,0.06,894,8,13436,-38,11,-31,29,4
24390,-0.00,0.08,0.06,886,-2,13478,-39,10,-30,29,4
24391,-0.00,0.08,0.06,886,22,13456,-40,9,-30,29,4
24392,-0.00,0.08,0.06,978,20,13488,-39,10,-29,29,4
24393,-0.00,0.08,0.06,980,-4,13472,-39,9,-29,29,4
24394,-0.01,0.08,0.06,884,-22,13516,-39,10,-30,29,5
24395,-0.01,0.08,0.06,898,44,13486,-40,9,-29,29,5
24396,-0.01,0.08,0.06,960,20,13468,-39,9,-30,29,5
24397,-0.01,0.08,0.06,916,36,13496,-39,10,-30,29,5
24398,-0.01,0.08,0.06,880,-24,13440,-39,10,-30,29,5
24399,-0.01,0.08,0.06,904,0,13484,-39,11,-30,29,5
24400,-0.01,0.08,0.06,872,32,13446,-39,9,-30,29,5
24401,-0.01,0.08,0.06,914,12,13342,-39,9,-30,29,5
24402,-0.01,0.08,0.06,906,50,13412,-39,11,-31,29,5
24403,-0.01,0.08,0.06,874,36,13344,-39,10,-30,29,5
24404,-0.01,0.08,0.06,852,44,13482,-40,9,-29,29,5
24405,-0.01,0.08,0.06,942,2,13508,-39,11,-30,29,5
24406,-0.01,0.08,0.06,966,-14,13490,-39,10,-30,29,5
24407,-0.01,0.08,0.06,878,60,13452,-38,10,-30,29,5
24408,-0.01,0.08,0.06,894,8,13446,-39,10,-30,29,5
24409,-0.01,0.08,0.06,952,4,13458,-40,10,-31,29,5
24410,-0.01,0.08,0.06,932,90,13416,-38,11,-31,29,5
24411,-0.01,0.08,0.06,888,10,13474,-40,10,-31,29,5
24412,-0.01,0.08,0.06,910,54,13470,-40,11,-30,29,5
24413,-0.01,0.08,0.06,902,-16,13412,-40,12,-30,29,5
24414,-0.00,0.08,0.06,832,-22,13440,-39,9,-29,29,5
24415,-0.00,0.08,0.06,946,10,13428,-40,10,-28,29,5
24416,-0.00,0.08,0.06,956,18,13444,-40,9,-30,29,5
24417,-0.00,0.08,0.06,936,-60,13426,-40,10,-30,29,5
24418,-0.01,0.08,0.06,920,44,13464,-40,12,-30,29,5
24419,-0.00,0.08,0.06,852,-4,13444,-39,10,-30,29,5
24420,-0.00,0.08,0.06,960,-18,13418,-38,10,-31,29,5
